Metode,Arah,Pengujian,Terdeteksi,Waktu Respon
ED,Horizontal,0,Gagal,0.00
ED,Horizontal,1,Gagal,0.00
ED,Horizontal,2,Gagal,0.00
ED,Horizontal,3,Gagal,0.00
ED,Horizontal,4,Gagal,0.00
ED,Horizontal,5,Gagal,0.00
ED,Horizontal,6,Gagal,0.00
ED,Horizontal,7,Gagal,0.00
ED,Horizontal,8,Gagal,0.00
ED,Horizontal,9,Gagal,0.00
ED,Vertikal,0,Gagal,0.00
ED,Vertikal,1,Gagal,0.00
ED,Vertikal,2,Gagal,0.00
ED,Vertikal,3,Gagal,0.00
ED,Vertikal,4,Gagal,0.00
ED,Vertikal,5,Gagal,0.00
ED,Vertikal,6,Gagal,0.00
ED,Vertikal,7,Gagal,0.00
ED,Vertikal,8,Gagal,0.00
ED,Vertikal,9,Berhasil,1249.00
ED,Diagonal,0,Gagal,0.00
ED,Diagonal,1,Gagal,0.00
ED,Diagonal,2,Gagal,0.00
ED,Diagonal,3,Gagal,0.00
ED,Diagonal,4,Gagal,0.00
ED,Diagonal,5,Gagal,0.00
ED,Diagonal,6,Gagal,0.00
ED,Diagonal,7,Gagal,0.00
ED,Diagonal,8,Gagal,0.00
ED,Diagonal,9,Gagal,0.00
PPMC,Horizontal,0,Gagal,0.00
PPMC,Horizontal,1,Gagal,0.00
PPMC,Horizontal,2,Gagal,0.00
PPMC,Horizontal,3,Gagal,0.00
PPMC,Horizontal,4,Gagal,0.00
PPMC,Horizontal,5,Gagal,0.00
PPMC,Horizontal,6,Gagal,0.00
PPMC,Horizontal,7,Gagal,0.00
PPMC,Horizontal,8,Gagal,0.00
PPMC,Horizontal,9,Gagal,0.00
PPMC,Vertikal,0,Berhasil,1250.00
PPMC,Vertikal,1,Gagal,0.00
PPMC,Vertikal,2,Gagal,0.00
PPMC,Vertikal,3,Gagal,0.00
PPMC,Vertikal,4,Berhasil,1244.00
PPMC,Vertikal,5,Gagal,0.00
PPMC,Vertikal,6,Berhasil,1241.00
PPMC,Vertikal,7,Berhasil,1234.00
PPMC,Vertikal,8,Gagal,0.00
PPMC,Vertikal,9,Berhasil,1250.00
PPMC,Diagonal,0,Berhasil,1250.00
PPMC,Diagonal,1,Berhasil,1245.00
PPMC,Diagonal,2,Gagal,0.00
PPMC,Diagonal,3,Berhasil,1250.00
PPMC,Diagonal,4,Berhasil,1235.00
PPMC,Diagonal,5,Berhasil,1254.00
PPMC,Diagonal,6,Berhasil,1236.00
PPMC,Diagonal,7,Gagal,0.00
PPMC,Diagonal,8,Berhasil,1234.00
PPMC,Diagonal,9,Berhasil,1236.00
